x	y	z	contour type	frameID	weight	time frame
-41.66061	-25.27688	-57.67572	SAX_RV_FREEWALL	3	1.0	13
-43.35718	-24.17212	-60.08173	SAX_RV_FREEWALL	3	1.0	13
-45.58487	-24.17212	-61.79857	SAX_RV_FREEWALL	3	1.0	13
-47.28143	-23.06735	-64.20457	SAX_RV_FREEWALL	3	1.0	13
-49.50912	-23.06735	-65.92142	SAX_RV_FREEWALL	3	1.0	13
-51.20569	-21.96259	-68.32742	SAX_RV_FREEWALL	3	1.0	13
-52.90226	-20.85782	-70.73342	SAX_RV_FREEWALL	3	1.0	13
-54.59882	-19.75306	-73.13943	SAX_RV_FREEWALL	3	1.0	13
-56.29539	-18.64829	-75.54543	SAX_RV_FREEWALL	3	1.0	13
-56.34699	-16.43875	-77.78217	SAX_RV_FREEWALL	3	1.0	13
-56.39860	-14.22922	-80.01890	SAX_RV_FREEWALL	3	1.0	13
-55.33636	-12.01968	-81.39721	SAX_RV_FREEWALL	3	1.0	13
-54.27411	-9.81015	-82.77553	SAX_RV_FREEWALL	3	1.0	13
-52.09803	-7.60061	-83.29542	SAX_RV_FREEWALL	3	1.0	13
-48.80810	-5.39107	-82.95689	SAX_RV_FREEWALL	3	1.0	13
-45.51817	-3.18153	-82.61835	SAX_RV_FREEWALL	3	1.0	13
-42.22824	-0.97199	-82.27982	SAX_RV_FREEWALL	3	1.0	13
-38.93831	1.23755	-81.94129	SAX_RV_FREEWALL	3	1.0	13
-35.64838	3.44709	-81.60276	SAX_RV_FREEWALL	3	1.0	13
-32.35845	5.65662	-81.26423	SAX_RV_FREEWALL	3	1.0	13
-30.18236	7.86616	-81.78412	SAX_RV_FREEWALL	3	1.0	13
-27.42355	8.97093	-80.75643	SAX_RV_FREEWALL	3	1.0	13
-24.13362	11.18047	-80.41790	SAX_RV_FREEWALL	3	1.0	13
-21.37481	12.28524	-79.39021	SAX_RV_FREEWALL	3	1.0	13
-18.61600	13.39001	-78.36252	SAX_RV_FREEWALL	3	1.0	13
-16.38831	13.39001	-76.64567	SAX_RV_FREEWALL	3	1.0	13
5.49716	-17.54346	-29.02133	SAX_RV_FREEWALL	3	1.0	13
2.73835	-18.64823	-30.04902	SAX_RV_FREEWALL	3	1.0	13
-0.02046	-19.75300	-31.07671	SAX_RV_FREEWALL	3	1.0	13
-2.77927	-20.85777	-32.10440	SAX_RV_FREEWALL	3	1.0	13
-5.53808	-21.96254	-33.13209	SAX_RV_FREEWALL	3	1.0	13
-8.29689	-23.06731	-34.15978	SAX_RV_FREEWALL	3	1.0	13
-11.05570	-24.17208	-35.18746	SAX_RV_FREEWALL	3	1.0	13
-13.81450	-25.27685	-36.21515	SAX_RV_FREEWALL	3	1.0	13
-16.04219	-25.27686	-37.93200	SAX_RV_FREEWALL	3	1.0	13
-18.26988	-25.27686	-39.64884	SAX_RV_FREEWALL	3	1.0	13
-20.49757	-25.27686	-41.36569	SAX_RV_FREEWALL	3	1.0	13
-22.72526	-25.27686	-43.08254	SAX_RV_FREEWALL	3	1.0	13
-24.95295	-25.27687	-44.79938	SAX_RV_FREEWALL	3	1.0	13
-27.18064	-25.27687	-46.51623	SAX_RV_FREEWALL	3	1.0	13
-29.40832	-25.27687	-48.23307	SAX_RV_FREEWALL	3	1.0	13
-31.63601	-25.27687	-49.94992	SAX_RV_FREEWALL	3	1.0	13
-33.86370	-25.27687	-51.66676	SAX_RV_FREEWALL	3	1.0	13
-36.09139	-25.27688	-53.38361	SAX_RV_FREEWALL	3	1.0	13
-38.31908	-25.27688	-55.10046	SAX_RV_FREEWALL	3	1.0	13
-40.54677	-25.27688	-56.81730	SAX_RV_FREEWALL	3	1.0	13
-37.68475	-28.59118	-51.31614	SAX_RV_EPICARDIAL	3	1.0	13
-39.38132	-27.48642	-53.72214	SAX_RV_EPICARDIAL	3	1.0	13
-41.60901	-27.48642	-55.43899	SAX_RV_EPICARDIAL	3	1.0	13
-43.83670	-27.48642	-57.15583	SAX_RV_EPICARDIAL	3	1.0	13
-46.06438	-27.48642	-58.87268	SAX_RV_EPICARDIAL	3	1.0	13
-48.29207	-27.48642	-60.58952	SAX_RV_EPICARDIAL	3	1.0	13
-50.51976	-27.48643	-62.30637	SAX_RV_EPICARDIAL	3	1.0	13
-52.74745	-27.48643	-64.02322	SAX_RV_EPICARDIAL	3	1.0	13
-54.44402	-26.38166	-66.42922	SAX_RV_EPICARDIAL	3	1.0	13
-56.14059	-25.27690	-68.83522	SAX_RV_EPICARDIAL	3	1.0	13
-57.30603	-23.06736	-71.93038	SAX_RV_EPICARDIAL	3	1.0	13
-58.47148	-20.85783	-75.02554	SAX_RV_EPICARDIAL	3	1.0	13
-59.63692	-18.64829	-78.12070	SAX_RV_EPICARDIAL	3	1.0	13
-59.68853	-16.43876	-80.35743	SAX_RV_EPICARDIAL	3	1.0	13
-59.74013	-14.22922	-82.59417	SAX_RV_EPICARDIAL	3	1.0	13
-57.56404	-12.01969	-83.11406	SAX_RV_EPICARDIAL	3	1.0	13
-56.50180	-9.81015	-84.49237	SAX_RV_EPICARDIAL	3	1.0	13
-54.32572	-7.60061	-85.01226	SAX_RV_EPICARDIAL	3	1.0	13
-52.14963	-5.39107	-85.53216	SAX_RV_EPICARDIAL	3	1.0	13
-49.97354	-3.18154	-86.05205	SAX_RV_EPICARDIAL	3	1.0	13
-46.68361	-0.97200	-85.71351	SAX_RV_EPICARDIAL	3	1.0	13
-43.39368	1.23754	-85.37498	SAX_RV_EPICARDIAL	3	1.0	13
-40.10375	3.44708	-85.03645	SAX_RV_EPICARDIAL	3	1.0	13
-36.81382	5.65662	-84.69792	SAX_RV_EPICARDIAL	3	1.0	13
-33.52389	7.86616	-84.35938	SAX_RV_EPICARDIAL	3	1.0	13
-30.23396	10.07570	-84.02085	SAX_RV_EPICARDIAL	3	1.0	13
-27.47515	11.18047	-82.99316	SAX_RV_EPICARDIAL	3	1.0	13
-24.18522	13.39001	-82.65463	SAX_RV_EPICARDIAL	3	1.0	13
-20.89529	15.59955	-82.31610	SAX_RV_EPICARDIAL	3	1.0	13
-18.13648	16.70432	-81.28841	SAX_RV_EPICARDIAL	3	1.0	13
-15.90879	16.70432	-79.57156	SAX_RV_EPICARDIAL	3	1.0	13
-13.14998	17.80909	-78.54388	SAX_RV_EPICARDIAL	3	1.0	13
-12.51566	14.49479	-74.75956	SAX_RV_EPICARDIAL	3	1.0	13
-13.57790	12.28525	-73.38125	SAX_RV_EPICARDIAL	3	1.0	13
13.19087	-13.12438	-27.48584	SAX_RV_EPICARDIAL	3	1.0	13
13.24247	-15.33392	-25.24911	SAX_RV_EPICARDIAL	3	1.0	13
9.95254	-17.54346	-25.58764	SAX_RV_EPICARDIAL	3	1.0	13
6.66261	-19.75300	-25.92617	SAX_RV_EPICARDIAL	3	1.0	13
3.90380	-20.85777	-26.95386	SAX_RV_EPICARDIAL	3	1.0	13
1.14499	-21.96254	-27.98155	SAX_RV_EPICARDIAL	3	1.0	13
-2.14494	-24.17208	-28.32008	SAX_RV_EPICARDIAL	3	1.0	13
-4.90375	-25.27685	-29.34777	SAX_RV_EPICARDIAL	3	1.0	13
-7.66256	-26.38162	-30.37546	SAX_RV_EPICARDIAL	3	1.0	13
