x	y	z	contour type	frameID	weight	time frame
-26.06679	-25.27687	-45.65780	SAX_RV_FREEWALL	3	1.0	10
-27.76336	-24.17210	-48.06381	SAX_RV_FREEWALL	3	1.0	10
-29.99105	-24.17210	-49.78065	SAX_RV_FREEWALL	3	1.0	10
-32.21874	-24.17211	-51.49750	SAX_RV_FREEWALL	3	1.0	10
-33.91530	-23.06734	-53.90350	SAX_RV_FREEWALL	3	1.0	10
-36.14299	-23.06734	-55.62035	SAX_RV_FREEWALL	3	1.0	10
-37.83956	-21.96258	-58.02635	SAX_RV_FREEWALL	3	1.0	10
-39.53613	-20.85781	-60.43235	SAX_RV_FREEWALL	3	1.0	10
-41.23269	-19.75304	-62.83835	SAX_RV_FREEWALL	3	1.0	10
-42.92926	-18.64828	-65.24436	SAX_RV_FREEWALL	3	1.0	10
-44.62583	-17.54351	-67.65036	SAX_RV_FREEWALL	3	1.0	10
-44.67743	-15.33398	-69.88709	SAX_RV_FREEWALL	3	1.0	10
-45.84288	-13.12444	-72.98225	SAX_RV_FREEWALL	3	1.0	10
-44.78064	-10.91490	-74.36057	SAX_RV_FREEWALL	3	1.0	10
-44.83224	-8.70537	-76.59730	SAX_RV_FREEWALL	3	1.0	10
-42.65615	-6.49583	-77.11719	SAX_RV_FREEWALL	3	1.0	10
-41.59391	-4.28629	-78.49551	SAX_RV_FREEWALL	3	1.0	10
-39.41782	-2.07676	-79.01540	SAX_RV_FREEWALL	3	1.0	10
-36.12789	0.13278	-78.67686	SAX_RV_FREEWALL	3	1.0	10
-33.95181	2.34232	-79.19676	SAX_RV_FREEWALL	3	1.0	10
-30.66188	4.55186	-78.85822	SAX_RV_FREEWALL	3	1.0	10
-27.37195	6.76140	-78.51969	SAX_RV_FREEWALL	3	1.0	10
-24.08202	8.97094	-78.18116	SAX_RV_FREEWALL	3	1.0	10
-21.32321	10.07571	-77.15347	SAX_RV_FREEWALL	3	1.0	10
-18.56440	11.18048	-76.12578	SAX_RV_FREEWALL	3	1.0	10
-16.33671	11.18048	-74.40894	SAX_RV_FREEWALL	3	1.0	10
9.90094	-15.33392	-27.82438	SAX_RV_FREEWALL	3	1.0	10
7.14213	-16.43869	-28.85206	SAX_RV_FREEWALL	3	1.0	10
3.85220	-18.64823	-29.19060	SAX_RV_FREEWALL	3	1.0	10
1.09339	-19.75300	-30.21829	SAX_RV_FREEWALL	3	1.0	10
-1.66542	-20.85777	-31.24597	SAX_RV_FREEWALL	3	1.0	10
-4.42423	-21.96254	-32.27366	SAX_RV_FREEWALL	3	1.0	10
-7.18304	-23.06731	-33.30135	SAX_RV_FREEWALL	3	1.0	10
-9.94185	-24.17208	-34.32904	SAX_RV_FREEWALL	3	1.0	10
-12.70066	-25.27685	-35.35673	SAX_RV_FREEWALL	3	1.0	10
-14.92835	-25.27686	-37.07358	SAX_RV_FREEWALL	3	1.0	10
-17.15604	-25.27686	-38.79042	SAX_RV_FREEWALL	3	1.0	10
-19.38373	-25.27686	-40.50727	SAX_RV_FREEWALL	3	1.0	10
-21.61141	-25.27686	-42.22411	SAX_RV_FREEWALL	3	1.0	10
-23.83910	-25.27686	-43.94096	SAX_RV_FREEWALL	3	1.0	10
-23.73590	-29.69594	-39.46749	SAX_RV_EPICARDIAL	3	1.0	10
-25.43247	-28.59117	-41.87349	SAX_RV_EPICARDIAL	3	1.0	10
-27.66015	-28.59117	-43.59033	SAX_RV_EPICARDIAL	3	1.0	10
-29.88784	-28.59117	-45.30718	SAX_RV_EPICARDIAL	3	1.0	10
-32.11553	-28.59118	-47.02403	SAX_RV_EPICARDIAL	3	1.0	10
-33.81210	-27.48641	-49.43003	SAX_RV_EPICARDIAL	3	1.0	10
-36.03979	-27.48641	-51.14687	SAX_RV_EPICARDIAL	3	1.0	10
-37.73635	-26.38165	-53.55288	SAX_RV_EPICARDIAL	3	1.0	10
