x	y	z	contour type	frameID	weight	time frame
-53.23313	-25.37306	-38.05331	SAX_RV_FREEWALL	2	1.0	24
-54.92970	-24.26830	-40.45931	SAX_RV_FREEWALL	2	1.0	24
-57.15739	-24.26830	-42.17616	SAX_RV_FREEWALL	2	1.0	24
-59.38508	-24.26830	-43.89300	SAX_RV_FREEWALL	2	1.0	24
-61.08164	-23.16354	-46.29901	SAX_RV_FREEWALL	2	1.0	24
-63.30933	-23.16354	-48.01585	SAX_RV_FREEWALL	2	1.0	24
-64.47478	-20.95400	-51.11101	SAX_RV_FREEWALL	2	1.0	24
-65.64022	-18.74447	-54.20617	SAX_RV_FREEWALL	2	1.0	24
-67.33679	-17.63970	-56.61217	SAX_RV_FREEWALL	2	1.0	24
-68.50224	-15.43017	-59.70733	SAX_RV_FREEWALL	2	1.0	24
-69.66769	-13.22063	-62.80249	SAX_RV_FREEWALL	2	1.0	24
-70.25041	-12.11587	-64.35007	SAX_RV_FREEWALL	2	1.0	24
-71.41586	-9.90633	-67.44523	SAX_RV_FREEWALL	2	1.0	24
-71.46746	-7.69680	-69.68197	SAX_RV_FREEWALL	2	1.0	24
-70.40522	-5.48726	-71.06028	SAX_RV_FREEWALL	2	1.0	24
-68.22913	-3.27772	-71.58017	SAX_RV_FREEWALL	2	1.0	24
-67.16689	-1.06819	-72.95848	SAX_RV_FREEWALL	2	1.0	24
-66.10465	1.14135	-74.33680	SAX_RV_FREEWALL	2	1.0	24
-65.04240	3.35089	-75.71511	SAX_RV_FREEWALL	2	1.0	24
-62.86632	5.56042	-76.23500	SAX_RV_FREEWALL	2	1.0	24
-60.69023	7.76996	-76.75489	SAX_RV_FREEWALL	2	1.0	24
-58.51415	9.97950	-77.27478	SAX_RV_FREEWALL	2	1.0	24
-56.33806	12.18904	-77.79467	SAX_RV_FREEWALL	2	1.0	24
-53.04813	14.39858	-77.45614	SAX_RV_FREEWALL	2	1.0	24
-49.75820	16.60812	-77.11761	SAX_RV_FREEWALL	2	1.0	24
-46.46827	18.81765	-76.77908	SAX_RV_FREEWALL	2	1.0	24
-43.70946	19.92242	-75.75139	SAX_RV_FREEWALL	2	1.0	24
-40.95065	21.02719	-74.72370	SAX_RV_FREEWALL	2	1.0	24
-38.19184	22.13197	-73.69601	SAX_RV_FREEWALL	2	1.0	24
-35.43303	23.23674	-72.66832	SAX_RV_FREEWALL	2	1.0	24
-33.20534	23.23674	-70.95147	SAX_RV_FREEWALL	2	1.0	24
-30.44653	24.34151	-69.92379	SAX_RV_FREEWALL	2	1.0	24
-28.21884	24.34151	-68.20694	SAX_RV_FREEWALL	2	1.0	24
-26.52228	23.23674	-65.80094	SAX_RV_FREEWALL	2	1.0	24
7.03276	-6.59195	-10.28153	SAX_RV_FREEWALL	2	1.0	24
7.08436	-8.80149	-8.04479	SAX_RV_FREEWALL	2	1.0	24
6.02212	-11.01102	-6.66648	SAX_RV_FREEWALL	2	1.0	24
3.84603	-13.22056	-6.14659	SAX_RV_FREEWALL	2	1.0	24
0.55610	-15.43010	-6.48512	SAX_RV_FREEWALL	2	1.0	24
-2.20271	-16.53487	-7.51281	SAX_RV_FREEWALL	2	1.0	24
-4.96152	-17.63964	-8.54050	SAX_RV_FREEWALL	2	1.0	24
-7.72033	-18.74441	-9.56818	SAX_RV_FREEWALL	2	1.0	24
-10.47913	-19.84918	-10.59587	SAX_RV_FREEWALL	2	1.0	24
-13.23794	-20.95395	-11.62356	SAX_RV_FREEWALL	2	1.0	24
-15.99675	-22.05872	-12.65125	SAX_RV_FREEWALL	2	1.0	24
-18.22444	-22.05872	-14.36810	SAX_RV_FREEWALL	2	1.0	24
-20.98325	-23.16350	-15.39579	SAX_RV_FREEWALL	2	1.0	24
-23.74206	-24.26827	-16.42347	SAX_RV_FREEWALL	2	1.0	24
-25.96975	-24.26827	-18.14032	SAX_RV_FREEWALL	2	1.0	24
-28.19744	-24.26827	-19.85717	SAX_RV_FREEWALL	2	1.0	24
-30.95625	-25.37304	-20.88485	SAX_RV_FREEWALL	2	1.0	24
-33.18394	-25.37304	-22.60170	SAX_RV_FREEWALL	2	1.0	24
-35.41162	-25.37305	-24.31855	SAX_RV_FREEWALL	2	1.0	24
-37.63931	-25.37305	-26.03539	SAX_RV_FREEWALL	2	1.0	24
-39.86700	-25.37305	-27.75224	SAX_RV_FREEWALL	2	1.0	24
-42.09469	-25.37305	-29.46908	SAX_RV_FREEWALL	2	1.0	24
-44.32238	-25.37305	-31.18593	SAX_RV_FREEWALL	2	1.0	24
-46.55007	-25.37306	-32.90277	SAX_RV_FREEWALL	2	1.0	24
-48.77775	-25.37306	-34.61962	SAX_RV_FREEWALL	2	1.0	24
-51.00544	-25.37306	-36.33647	SAX_RV_FREEWALL	2	1.0	24
-53.18153	-27.58260	-35.81657	SAX_RV_EPICARDIAL	2	1.0	24
-54.87810	-26.47783	-38.22258	SAX_RV_EPICARDIAL	2	1.0	24
-57.10578	-26.47783	-39.93942	SAX_RV_EPICARDIAL	2	1.0	24
-59.33347	-26.47784	-41.65627	SAX_RV_EPICARDIAL	2	1.0	24
-61.56116	-26.47784	-43.37311	SAX_RV_EPICARDIAL	2	1.0	24
-63.25773	-25.37307	-45.77912	SAX_RV_EPICARDIAL	2	1.0	24
