x	y	z	contour type	frameID	weight	time frame
-36.52547	-25.37305	-25.17697	SAX_RV_FREEWALL	2	1.0	1
-38.22204	-24.26828	-27.58297	SAX_RV_FREEWALL	2	1.0	1
-40.44972	-24.26828	-29.29982	SAX_RV_FREEWALL	2	1.0	1
-42.67741	-24.26828	-31.01666	SAX_RV_FREEWALL	2	1.0	1
-44.90510	-24.26829	-32.73351	SAX_RV_FREEWALL	2	1.0	1
-47.13279	-24.26829	-34.45035	SAX_RV_FREEWALL	2	1.0	1
-49.36048	-24.26829	-36.16720	SAX_RV_FREEWALL	2	1.0	1
-51.58817	-24.26829	-37.88404	SAX_RV_FREEWALL	2	1.0	1
-53.81585	-24.26830	-39.60089	SAX_RV_FREEWALL	2	1.0	1
-56.04354	-24.26830	-41.31774	SAX_RV_FREEWALL	2	1.0	1
-57.74011	-23.16353	-43.72374	SAX_RV_FREEWALL	2	1.0	1
-59.96780	-23.16353	-45.44058	SAX_RV_FREEWALL	2	1.0	1
-61.66437	-22.05877	-47.84659	SAX_RV_FREEWALL	2	1.0	1
-63.36093	-20.95400	-50.25259	SAX_RV_FREEWALL	2	1.0	1
-65.05750	-19.84924	-52.65859	SAX_RV_FREEWALL	2	1.0	1
-66.75407	-18.74447	-55.06459	SAX_RV_FREEWALL	2	1.0	1
-66.80567	-16.53493	-57.30133	SAX_RV_FREEWALL	2	1.0	1
-67.97112	-14.32540	-60.39649	SAX_RV_FREEWALL	2	1.0	1
-69.13656	-12.11587	-63.49165	SAX_RV_FREEWALL	2	1.0	1
-70.30201	-9.90633	-66.58681	SAX_RV_FREEWALL	2	1.0	1
-69.23977	-7.69679	-67.96512	SAX_RV_FREEWALL	2	1.0	1
-69.29137	-5.48726	-70.20186	SAX_RV_FREEWALL	2	1.0	1
-68.22913	-3.27772	-71.58017	SAX_RV_FREEWALL	2	1.0	1
-68.28073	-1.06819	-73.81691	SAX_RV_FREEWALL	2	1.0	1
-67.21849	1.14135	-75.19522	SAX_RV_FREEWALL	2	1.0	1
-65.04240	3.35089	-75.71511	SAX_RV_FREEWALL	2	1.0	1
-62.86632	5.56042	-76.23500	SAX_RV_FREEWALL	2	1.0	1
-60.69023	7.76996	-76.75489	SAX_RV_FREEWALL	2	1.0	1
-58.51415	9.97950	-77.27478	SAX_RV_FREEWALL	2	1.0	1
-56.33806	12.18904	-77.79467	SAX_RV_FREEWALL	2	1.0	1
-54.16197	14.39858	-78.31456	SAX_RV_FREEWALL	2	1.0	1
-50.87204	16.60811	-77.97603	SAX_RV_FREEWALL	2	1.0	1
-47.58211	18.81765	-77.63750	SAX_RV_FREEWALL	2	1.0	1
-44.82330	19.92242	-76.60981	SAX_RV_FREEWALL	2	1.0	1
-41.53337	22.13196	-76.27128	SAX_RV_FREEWALL	2	1.0	1
-38.77456	23.23673	-75.24359	SAX_RV_FREEWALL	2	1.0	1
-36.01575	24.34150	-74.21590	SAX_RV_FREEWALL	2	1.0	1
-33.25694	25.44627	-73.18821	SAX_RV_FREEWALL	2	1.0	1
-31.02926	25.44628	-71.47137	SAX_RV_FREEWALL	2	1.0	1
-28.80157	25.44628	-69.75452	SAX_RV_FREEWALL	2	1.0	1
-27.10500	24.34151	-67.34852	SAX_RV_FREEWALL	2	1.0	1
8.09500	-4.38241	-11.65984	SAX_RV_FREEWALL	2	1.0	1
9.26045	-6.59195	-8.56468	SAX_RV_FREEWALL	2	1.0	1
9.31205	-8.80148	-6.32794	SAX_RV_FREEWALL	2	1.0	1
7.13596	-11.01102	-5.80805	SAX_RV_FREEWALL	2	1.0	1
3.84603	-13.22056	-6.14659	SAX_RV_FREEWALL	2	1.0	1
0.55610	-15.43010	-6.48512	SAX_RV_FREEWALL	2	1.0	1
-2.20271	-16.53487	-7.51281	SAX_RV_FREEWALL	2	1.0	1
-4.96152	-17.63964	-8.54050	SAX_RV_FREEWALL	2	1.0	1
-7.72033	-18.74441	-9.56818	SAX_RV_FREEWALL	2	1.0	1
-10.47913	-19.84918	-10.59587	SAX_RV_FREEWALL	2	1.0	1
-13.23794	-20.95395	-11.62356	SAX_RV_FREEWALL	2	1.0	1
-15.46563	-20.95395	-13.34041	SAX_RV_FREEWALL	2	1.0	1
-18.22444	-22.05872	-14.36810	SAX_RV_FREEWALL	2	1.0	1
-20.45213	-22.05873	-16.08494	SAX_RV_FREEWALL	2	1.0	1
-23.21094	-23.16350	-17.11263	SAX_RV_FREEWALL	2	1.0	1
-25.96975	-24.26827	-18.14032	SAX_RV_FREEWALL	2	1.0	1
-28.19744	-24.26827	-19.85717	SAX_RV_FREEWALL	2	1.0	1
-30.42513	-24.26827	-21.57401	SAX_RV_FREEWALL	2	1.0	1
-33.18394	-25.37304	-22.60170	SAX_RV_FREEWALL	2	1.0	1
-35.41162	-25.37305	-24.31855	SAX_RV_FREEWALL	2	1.0	1
-43.15693	-27.58259	-28.09077	SAX_RV_EPICARDIAL	2	1.0	1
-44.85350	-26.47782	-30.49677	SAX_RV_EPICARDIAL	2	1.0	1
-47.08119	-26.47782	-32.21362	SAX_RV_EPICARDIAL	2	1.0	1
-49.30888	-26.47783	-33.93046	SAX_RV_EPICARDIAL	2	1.0	1
-51.53656	-26.47783	-35.64731	SAX_RV_EPICARDIAL	2	1.0	1
-53.76425	-26.47783	-37.36415	SAX_RV_EPICARDIAL	2	1.0	1
-55.99194	-26.47783	-39.08100	SAX_RV_EPICARDIAL	2	1.0	1
-57.68851	-25.37307	-41.48700	SAX_RV_EPICARDIAL	2	1.0	1
-59.91620	-25.37307	-43.20385	SAX_RV_EPICARDIAL	2	1.0	1
-61.61276	-24.26830	-45.60985	SAX_RV_EPICARDIAL	2	1.0	1
-63.30933	-23.16354	-48.01585	SAX_RV_EPICARDIAL	2	1.0	1
-65.53702	-23.16354	-49.73270	SAX_RV_EPICARDIAL	2	1.0	1
-67.23359	-22.05877	-52.13870	SAX_RV_EPICARDIAL	2	1.0	1
-68.39903	-19.84924	-55.23386	SAX_RV_EPICARDIAL	2	1.0	1
-69.56448	-17.63970	-58.32902	SAX_RV_EPICARDIAL	2	1.0	1
-70.72993	-15.43017	-61.42418	SAX_RV_EPICARDIAL	2	1.0	1
-71.89537	-13.22064	-64.51934	SAX_RV_EPICARDIAL	2	1.0	1
-71.94698	-11.01110	-66.75607	SAX_RV_EPICARDIAL	2	1.0	1
-71.99858	-8.80157	-68.99281	SAX_RV_EPICARDIAL	2	1.0	1
-70.93634	-6.59203	-70.37112	SAX_RV_EPICARDIAL	2	1.0	1
-70.98794	-4.38249	-72.60786	SAX_RV_EPICARDIAL	2	1.0	1
-69.92570	-2.17296	-73.98617	SAX_RV_EPICARDIAL	2	1.0	1
-68.86346	0.03658	-75.36449	SAX_RV_EPICARDIAL	2	1.0	1
-67.80121	2.24612	-76.74280	SAX_RV_EPICARDIAL	2	1.0	1
-66.73897	4.45565	-78.12111	SAX_RV_EPICARDIAL	2	1.0	1
-64.56289	6.66519	-78.64100	SAX_RV_EPICARDIAL	2	1.0	1
-62.38680	8.87473	-79.16089	SAX_RV_EPICARDIAL	2	1.0	1
-60.21071	11.08427	-79.68078	SAX_RV_EPICARDIAL	2	1.0	1
-58.03463	13.29380	-80.20067	SAX_RV_EPICARDIAL	2	1.0	1
-55.85854	15.50334	-80.72057	SAX_RV_EPICARDIAL	2	1.0	1
-52.56861	17.71288	-80.38203	SAX_RV_EPICARDIAL	2	1.0	1
-49.27868	19.92242	-80.04350	SAX_RV_EPICARDIAL	2	1.0	1
-45.98875	22.13196	-79.70497	SAX_RV_EPICARDIAL	2	1.0	1
-43.22994	23.23673	-78.67728	SAX_RV_EPICARDIAL	2	1.0	1
-40.47113	24.34150	-77.64959	SAX_RV_EPICARDIAL	2	1.0	1
-37.18120	26.55104	-77.31106	SAX_RV_EPICARDIAL	2	1.0	1
-34.42239	27.65581	-76.28337	SAX_RV_EPICARDIAL	2	1.0	1
-32.19470	27.65581	-74.56652	SAX_RV_EPICARDIAL	2	1.0	1
-29.96701	27.65581	-72.84968	SAX_RV_EPICARDIAL	2	1.0	1
-27.73933	27.65581	-71.13283	SAX_RV_EPICARDIAL	2	1.0	1
-25.51164	27.65582	-69.41599	SAX_RV_EPICARDIAL	2	1.0	1
-23.81507	26.55105	-67.00999	SAX_RV_EPICARDIAL	2	1.0	1
-24.29459	23.23675	-64.08409	SAX_RV_EPICARDIAL	2	1.0	1
10.85381	-3.27764	-10.63215	SAX_RV_EPICARDIAL	2	1.0	1
13.08150	-3.27764	-8.91530	SAX_RV_EPICARDIAL	2	1.0	1
14.77807	-4.38241	-6.50930	SAX_RV_EPICARDIAL	2	1.0	1
14.82967	-6.59194	-4.27257	SAX_RV_EPICARDIAL	2	1.0	1
12.65358	-8.80148	-3.75268	SAX_RV_EPICARDIAL	2	1.0	1
10.47750	-11.01102	-3.23278	SAX_RV_EPICARDIAL	2	1.0	1
8.30141	-13.22056	-2.71289	SAX_RV_EPICARDIAL	2	1.0	1
5.01148	-15.43010	-3.05143	SAX_RV_EPICARDIAL	2	1.0	1
1.72155	-17.63963	-3.38996	SAX_RV_EPICARDIAL	2	1.0	1
-1.03726	-18.74440	-4.41765	SAX_RV_EPICARDIAL	2	1.0	1
-3.79607	-19.84918	-5.44534	SAX_RV_EPICARDIAL	2	1.0	1
-6.55488	-20.95395	-6.47303	SAX_RV_EPICARDIAL	2	1.0	1
-9.31369	-22.05872	-7.50071	SAX_RV_EPICARDIAL	2	1.0	1
-11.54138	-22.05872	-9.21756	SAX_RV_EPICARDIAL	2	1.0	1
-14.30019	-23.16349	-10.24525	SAX_RV_EPICARDIAL	2	1.0	1
-17.05900	-24.26826	-11.27294	SAX_RV_EPICARDIAL	2	1.0	1
-19.28668	-24.26826	-12.98978	SAX_RV_EPICARDIAL	2	1.0	1
-22.04549	-25.37303	-14.01747	SAX_RV_EPICARDIAL	2	1.0	1
-24.27318	-25.37303	-15.73432	SAX_RV_EPICARDIAL	2	1.0	1
-27.03199	-26.47780	-16.76201	SAX_RV_EPICARDIAL	2	1.0	1
-29.25968	-26.47781	-18.47885	SAX_RV_EPICARDIAL	2	1.0	1
-32.01849	-27.58258	-19.50654	SAX_RV_EPICARDIAL	2	1.0	1
-34.24618	-27.58258	-21.22339	SAX_RV_EPICARDIAL	2	1.0	1
-36.47387	-27.58258	-22.94023	SAX_RV_EPICARDIAL	2	1.0	1
-38.70155	-27.58258	-24.65708	SAX_RV_EPICARDIAL	2	1.0	1
-40.92924	-27.58259	-26.37392	SAX_RV_EPICARDIAL	2	1.0	1
-25.40843	23.23675	-64.94252	SAX_RV_SEPTUM	2	1.0	1
-25.35683	21.02721	-62.70578	SAX_RV_SEPTUM	2	1.0	1
-25.30523	18.81767	-60.46904	SAX_RV_SEPTUM	2	1.0	1
-25.25363	16.60814	-58.23231	SAX_RV_SEPTUM	2	1.0	1
-25.20202	14.39860	-55.99557	SAX_RV_SEPTUM	2	1.0	1
-26.26427	12.18907	-54.61726	SAX_RV_SEPTUM	2	1.0	1
-26.21266	9.97953	-52.38052	SAX_RV_SEPTUM	2	1.0	1
-26.16106	7.77000	-50.14378	SAX_RV_SEPTUM	2	1.0	1
-24.99561	5.56046	-47.04863	SAX_RV_SEPTUM	2	1.0	1
-23.83017	3.35093	-43.95347	SAX_RV_SEPTUM	2	1.0	1
-23.77857	1.14139	-41.71673	SAX_RV_SEPTUM	2	1.0	1
-22.61312	-1.06814	-38.62157	SAX_RV_SEPTUM	2	1.0	1
-20.91655	-2.17291	-36.21557	SAX_RV_SEPTUM	2	1.0	1
-19.75110	-4.38244	-33.12041	SAX_RV_SEPTUM	2	1.0	1
-18.05454	-5.48721	-30.71441	SAX_RV_SEPTUM	2	1.0	1
-15.82685	-5.48721	-28.99756	SAX_RV_SEPTUM	2	1.0	1
-14.13028	-6.59197	-26.59156	SAX_RV_SEPTUM	2	1.0	1
-11.90259	-6.59197	-24.87471	SAX_RV_SEPTUM	2	1.0	1
-9.67490	-6.59197	-23.15787	SAX_RV_SEPTUM	2	1.0	1
-6.91610	-5.48720	-22.13018	SAX_RV_SEPTUM	2	1.0	1
-4.68841	-5.48720	-20.41333	SAX_RV_SEPTUM	2	1.0	1
-2.46072	-5.48719	-18.69649	SAX_RV_SEPTUM	2	1.0	1
0.29809	-4.38242	-17.66880	SAX_RV_SEPTUM	2	1.0	1
3.05690	-3.27765	-16.64111	SAX_RV_SEPTUM	2	1.0	1
5.28459	-3.27765	-14.92426	SAX_RV_SEPTUM	2	1.0	1
8.04340	-2.17288	-13.89658	SAX_RV_SEPTUM	2	1.0	1
10.80221	-1.06811	-12.86889	SAX_RV_SEPTUM	2	1.0	1
10.85381	-3.27764	-10.63215	SAX_RV_SEPTUM	2	1.0	1
10.85381	-3.27764	-10.63215	SAX_RV_SEPTUM	2	1.0	1
-21.58738	26.55105	-65.29314	SAX_LV_EPICARDIAL	2	1.0	1
-20.52514	28.76059	-66.67145	SAX_LV_EPICARDIAL	2	1.0	1
-19.46290	30.97013	-68.04977	SAX_LV_EPICARDIAL	2	1.0	1
-17.28681	33.17966	-68.56966	SAX_LV_EPICARDIAL	2	1.0	1
-15.11073	35.38920	-69.08955	SAX_LV_EPICARDIAL	2	1.0	1
-12.93464	37.59874	-69.60944	SAX_LV_EPICARDIAL	2	1.0	1
-10.75855	39.80828	-70.12933	SAX_LV_EPICARDIAL	2	1.0	1
-8.58247	42.01781	-70.64922	SAX_LV_EPICARDIAL	2	1.0	1
-5.29254	44.22735	-70.31069	SAX_LV_EPICARDIAL	2	1.0	1
-2.53373	45.33212	-69.28300	SAX_LV_EPICARDIAL	2	1.0	1
0.22508	46.43689	-68.25531	SAX_LV_EPICARDIAL	2	1.0	1
3.51501	48.64643	-67.91678	SAX_LV_EPICARDIAL	2	1.0	1
6.27382	49.75120	-66.88909	SAX_LV_EPICARDIAL	2	1.0	1
9.03263	50.85597	-65.86140	SAX_LV_EPICARDIAL	2	1.0	1
11.26032	50.85598	-64.14455	SAX_LV_EPICARDIAL	2	1.0	1
13.48801	50.85598	-62.42771	SAX_LV_EPICARDIAL	2	1.0	1
16.24682	51.96075	-61.40002	SAX_LV_EPICARDIAL	2	1.0	1
18.47451	51.96075	-59.68317	SAX_LV_EPICARDIAL	2	1.0	1
20.70219	51.96075	-57.96633	SAX_LV_EPICARDIAL	2	1.0	1
22.92988	51.96076	-56.24948	SAX_LV_EPICARDIAL	2	1.0	1
25.15757	51.96076	-54.53264	SAX_LV_EPICARDIAL	2	1.0	1
27.38526	51.96076	-52.81579	SAX_LV_EPICARDIAL	2	1.0	1
29.08183	50.85599	-50.40979	SAX_LV_EPICARDIAL	2	1.0	1
30.77839	49.75123	-48.00379	SAX_LV_EPICARDIAL	2	1.0	1
33.00608	49.75123	-46.28694	SAX_LV_EPICARDIAL	2	1.0	1
34.70265	48.64646	-43.88094	SAX_LV_EPICARDIAL	2	1.0	1
35.86810	46.43693	-40.78578	SAX_LV_EPICARDIAL	2	1.0	1
37.03354	44.22740	-37.69062	SAX_LV_EPICARDIAL	2	1.0	1
38.73011	43.12263	-35.28462	SAX_LV_EPICARDIAL	2	1.0	1
38.78171	40.91309	-33.04788	SAX_LV_EPICARDIAL	2	1.0	1
39.94716	38.70356	-29.95272	SAX_LV_EPICARDIAL	2	1.0	1
39.99876	36.49402	-27.71599	SAX_LV_EPICARDIAL	2	1.0	1
40.05036	34.28449	-25.47925	SAX_LV_EPICARDIAL	2	1.0	1
40.10197	32.07495	-23.24251	SAX_LV_EPICARDIAL	2	1.0	1
39.03972	29.86542	-21.86420	SAX_LV_EPICARDIAL	2	1.0	1
37.97748	27.65588	-20.48589	SAX_LV_EPICARDIAL	2	1.0	1
38.02908	25.44634	-18.24915	SAX_LV_EPICARDIAL	2	1.0	1
