x	y	z	contour type	frameID	weight	time frame
-41.03245	-23.16352	-30.84740	SAX_RV_FREEWALL	2	1.0	3
-42.72901	-22.05875	-33.25340	SAX_RV_FREEWALL	2	1.0	3
-44.95670	-22.05875	-34.97024	SAX_RV_FREEWALL	2	1.0	3
-46.65327	-20.95399	-37.37625	SAX_RV_FREEWALL	2	1.0	3
-48.88096	-20.95399	-39.09309	SAX_RV_FREEWALL	2	1.0	3
-50.57753	-19.84922	-41.49909	SAX_RV_FREEWALL	2	1.0	3
-52.80522	-19.84922	-43.21594	SAX_RV_FREEWALL	2	1.0	3
-54.50178	-18.74446	-45.62194	SAX_RV_FREEWALL	2	1.0	3
-56.72947	-18.74446	-47.33879	SAX_RV_FREEWALL	2	1.0	3
-58.42604	-17.63969	-49.74479	SAX_RV_FREEWALL	2	1.0	3
-60.65373	-17.63970	-51.46164	SAX_RV_FREEWALL	2	1.0	3
-62.35029	-16.53493	-53.86764	SAX_RV_FREEWALL	2	1.0	3
-64.04686	-15.43016	-56.27364	SAX_RV_FREEWALL	2	1.0	3
-65.74343	-14.32540	-58.67964	SAX_RV_FREEWALL	2	1.0	3
-65.79503	-12.11586	-60.91638	SAX_RV_FREEWALL	2	1.0	3
-65.84663	-9.90633	-63.15312	SAX_RV_FREEWALL	2	1.0	3
-65.89824	-7.69679	-65.38985	SAX_RV_FREEWALL	2	1.0	3
-65.94984	-5.48726	-67.62659	SAX_RV_FREEWALL	2	1.0	3
-66.00144	-3.27772	-69.86332	SAX_RV_FREEWALL	2	1.0	3
-66.05304	-1.06819	-72.10006	SAX_RV_FREEWALL	2	1.0	3
-64.99080	1.14135	-73.47837	SAX_RV_FREEWALL	2	1.0	3
-62.81472	3.35089	-73.99826	SAX_RV_FREEWALL	2	1.0	3
-60.63863	5.56043	-74.51816	SAX_RV_FREEWALL	2	1.0	3
-58.46254	7.76996	-75.03805	SAX_RV_FREEWALL	2	1.0	3
-56.28646	9.97950	-75.55794	SAX_RV_FREEWALL	2	1.0	3
-54.11037	12.18904	-76.07783	SAX_RV_FREEWALL	2	1.0	3
-50.82044	14.39858	-75.73929	SAX_RV_FREEWALL	2	1.0	3
-48.64435	16.60812	-76.25919	SAX_RV_FREEWALL	2	1.0	3
-46.46827	18.81765	-76.77908	SAX_RV_FREEWALL	2	1.0	3
-44.29218	21.02719	-77.29897	SAX_RV_FREEWALL	2	1.0	3
-41.00225	23.23673	-76.96043	SAX_RV_FREEWALL	2	1.0	3
-38.24344	24.34150	-75.93275	SAX_RV_FREEWALL	2	1.0	3
-34.95351	26.55104	-75.59421	SAX_RV_FREEWALL	2	1.0	3
-32.72582	26.55104	-73.87737	SAX_RV_FREEWALL	2	1.0	3
-29.96701	27.65581	-72.84968	SAX_RV_FREEWALL	2	1.0	3
-27.73933	27.65581	-71.13283	SAX_RV_FREEWALL	2	1.0	3
-26.04276	26.55105	-68.72683	SAX_RV_FREEWALL	2	1.0	3
-24.34619	25.44628	-66.32083	SAX_RV_FREEWALL	2	1.0	3
5.81571	-2.17288	-15.61342	SAX_RV_FREEWALL	2	1.0	3
5.86731	-4.38242	-13.37668	SAX_RV_FREEWALL	2	1.0	3
7.56388	-5.48718	-10.97068	SAX_RV_FREEWALL	2	1.0	3
8.72933	-7.69672	-7.87552	SAX_RV_FREEWALL	2	1.0	3
7.66708	-9.90625	-6.49721	SAX_RV_FREEWALL	2	1.0	3
4.37715	-12.11579	-6.83574	SAX_RV_FREEWALL	2	1.0	3
1.08722	-14.32533	-7.17427	SAX_RV_FREEWALL	2	1.0	3
-1.67159	-15.43010	-8.20196	SAX_RV_FREEWALL	2	1.0	3
-4.43040	-16.53487	-9.22965	SAX_RV_FREEWALL	2	1.0	3
-7.18920	-17.63964	-10.25734	SAX_RV_FREEWALL	2	1.0	3
-9.94801	-18.74441	-11.28503	SAX_RV_FREEWALL	2	1.0	3
-12.70682	-19.84918	-12.31272	SAX_RV_FREEWALL	2	1.0	3
-14.93451	-19.84919	-14.02956	SAX_RV_FREEWALL	2	1.0	3
-17.69332	-20.95396	-15.05725	SAX_RV_FREEWALL	2	1.0	3
-19.92101	-20.95396	-16.77410	SAX_RV_FREEWALL	2	1.0	3
-22.67982	-22.05873	-17.80179	SAX_RV_FREEWALL	2	1.0	3
-24.90751	-22.05873	-19.51863	SAX_RV_FREEWALL	2	1.0	3
-27.13520	-22.05873	-21.23548	SAX_RV_FREEWALL	2	1.0	3
-29.89401	-23.16350	-22.26317	SAX_RV_FREEWALL	2	1.0	3
-32.12169	-23.16351	-23.98001	SAX_RV_FREEWALL	2	1.0	3
-34.34938	-23.16351	-25.69686	SAX_RV_FREEWALL	2	1.0	3
-36.57707	-23.16351	-27.41370	SAX_RV_FREEWALL	2	1.0	3
-38.80476	-23.16351	-29.13055	SAX_RV_FREEWALL	2	1.0	3
-41.51197	-26.47782	-27.92150	SAX_RV_EPICARDIAL	2	1.0	3
-43.20853	-25.37305	-30.32751	SAX_RV_EPICARDIAL	2	1.0	3
-44.90510	-24.26829	-32.73351	SAX_RV_EPICARDIAL	2	1.0	3
-47.13279	-24.26829	-34.45035	SAX_RV_EPICARDIAL	2	1.0	3
-48.82936	-23.16352	-36.85636	SAX_RV_EPICARDIAL	2	1.0	3
-51.05705	-23.16353	-38.57320	SAX_RV_EPICARDIAL	2	1.0	3
-53.28473	-23.16353	-40.29005	SAX_RV_EPICARDIAL	2	1.0	3
-54.98130	-22.05876	-42.69605	SAX_RV_EPICARDIAL	2	1.0	3
-57.20899	-22.05876	-44.41289	SAX_RV_EPICARDIAL	2	1.0	3
-58.90556	-20.95400	-46.81890	SAX_RV_EPICARDIAL	2	1.0	3
-60.60212	-19.84923	-49.22490	SAX_RV_EPICARDIAL	2	1.0	3
-62.82981	-19.84923	-50.94175	SAX_RV_EPICARDIAL	2	1.0	3
-64.52638	-18.74447	-53.34775	SAX_RV_EPICARDIAL	2	1.0	3
-66.22295	-17.63970	-55.75375	SAX_RV_EPICARDIAL	2	1.0	3
-67.91952	-16.53494	-58.15975	SAX_RV_EPICARDIAL	2	1.0	3
-69.08496	-14.32540	-61.25491	SAX_RV_EPICARDIAL	2	1.0	3
-69.13656	-12.11587	-63.49165	SAX_RV_EPICARDIAL	2	1.0	3
