x	y	z	contour type	frameID	weight	time frame
-44.95670	-22.05875	-34.97024	SAX_RV_FREEWALL	2	1.0	20
-46.65327	-20.95399	-37.37625	SAX_RV_FREEWALL	2	1.0	20
-48.88096	-20.95399	-39.09309	SAX_RV_FREEWALL	2	1.0	20
-51.10865	-20.95399	-40.80994	SAX_RV_FREEWALL	2	1.0	20
-53.33634	-20.95399	-42.52678	SAX_RV_FREEWALL	2	1.0	20
-55.56402	-20.95399	-44.24363	SAX_RV_FREEWALL	2	1.0	20
-57.26059	-19.84923	-46.64963	SAX_RV_FREEWALL	2	1.0	20
-59.48828	-19.84923	-48.36648	SAX_RV_FREEWALL	2	1.0	20
-61.18485	-18.74446	-50.77248	SAX_RV_FREEWALL	2	1.0	20
-62.88142	-17.63970	-53.17848	SAX_RV_FREEWALL	2	1.0	20
-64.57798	-16.53493	-55.58448	SAX_RV_FREEWALL	2	1.0	20
-66.27455	-15.43017	-57.99049	SAX_RV_FREEWALL	2	1.0	20
-67.44000	-13.22063	-61.08565	SAX_RV_FREEWALL	2	1.0	20
-69.13656	-12.11587	-63.49165	SAX_RV_FREEWALL	2	1.0	20
-69.18817	-9.90633	-65.72838	SAX_RV_FREEWALL	2	1.0	20
-69.23977	-7.69679	-67.96512	SAX_RV_FREEWALL	2	1.0	20
-69.29137	-5.48726	-70.20186	SAX_RV_FREEWALL	2	1.0	20
-68.22913	-3.27772	-71.58017	SAX_RV_FREEWALL	2	1.0	20
-67.16689	-1.06819	-72.95848	SAX_RV_FREEWALL	2	1.0	20
-66.10465	1.14135	-74.33680	SAX_RV_FREEWALL	2	1.0	20
-63.92856	3.35089	-74.85669	SAX_RV_FREEWALL	2	1.0	20
-61.75247	5.56043	-75.37658	SAX_RV_FREEWALL	2	1.0	20
-59.57639	7.76996	-75.89647	SAX_RV_FREEWALL	2	1.0	20
-57.40030	9.97950	-76.41636	SAX_RV_FREEWALL	2	1.0	20
-54.11037	12.18904	-76.07783	SAX_RV_FREEWALL	2	1.0	20
-50.82044	14.39858	-75.73929	SAX_RV_FREEWALL	2	1.0	20
-49.17548	15.50335	-75.57003	SAX_RV_FREEWALL	2	1.0	20
-45.88555	17.71289	-75.23150	SAX_RV_FREEWALL	2	1.0	20
-43.12674	18.81766	-74.20381	SAX_RV_FREEWALL	2	1.0	20
-40.36793	19.92243	-73.17612	SAX_RV_FREEWALL	2	1.0	20
-37.60912	21.02720	-72.14843	SAX_RV_FREEWALL	2	1.0	20
-34.85031	22.13197	-71.12074	SAX_RV_FREEWALL	2	1.0	20
-32.09150	23.23674	-70.09305	SAX_RV_FREEWALL	2	1.0	20
-29.86381	23.23674	-68.37621	SAX_RV_FREEWALL	2	1.0	20
-28.16724	22.13198	-65.97020	SAX_RV_FREEWALL	2	1.0	20
-26.47068	21.02721	-63.56420	SAX_RV_FREEWALL	2	1.0	20
10.85381	-3.27764	-10.63215	SAX_RV_FREEWALL	2	1.0	20
9.79157	-5.48718	-9.25384	SAX_RV_FREEWALL	2	1.0	20
9.84317	-7.69672	-7.01710	SAX_RV_FREEWALL	2	1.0	20
8.78093	-9.90625	-5.63879	SAX_RV_FREEWALL	2	1.0	20
5.49100	-12.11579	-5.97732	SAX_RV_FREEWALL	2	1.0	20
2.20107	-14.32533	-6.31585	SAX_RV_FREEWALL	2	1.0	20
-0.55774	-15.43010	-7.34354	SAX_RV_FREEWALL	2	1.0	20
-3.31655	-16.53487	-8.37123	SAX_RV_FREEWALL	2	1.0	20
-6.07536	-17.63964	-9.39892	SAX_RV_FREEWALL	2	1.0	20
-8.83417	-18.74441	-10.42661	SAX_RV_FREEWALL	2	1.0	20
-11.06186	-18.74441	-12.14345	SAX_RV_FREEWALL	2	1.0	20
-13.82067	-19.84918	-13.17114	SAX_RV_FREEWALL	2	1.0	20
-16.04836	-19.84919	-14.88799	SAX_RV_FREEWALL	2	1.0	20
-18.80717	-20.95396	-15.91568	SAX_RV_FREEWALL	2	1.0	20
-21.03485	-20.95396	-17.63252	SAX_RV_FREEWALL	2	1.0	20
-23.79366	-22.05873	-18.66021	SAX_RV_FREEWALL	2	1.0	20
-26.02135	-22.05873	-20.37706	SAX_RV_FREEWALL	2	1.0	20
-28.24904	-22.05873	-22.09390	SAX_RV_FREEWALL	2	1.0	20
-30.47673	-22.05874	-23.81075	SAX_RV_FREEWALL	2	1.0	20
-32.70442	-22.05874	-25.52759	SAX_RV_FREEWALL	2	1.0	20
-34.93211	-22.05874	-27.24444	SAX_RV_FREEWALL	2	1.0	20
-36.62867	-20.95398	-29.65044	SAX_RV_FREEWALL	2	1.0	20
-38.85636	-20.95398	-31.36729	SAX_RV_FREEWALL	2	1.0	20
-41.08405	-20.95398	-33.08413	SAX_RV_FREEWALL	2	1.0	20
-43.31174	-20.95398	-34.80098	SAX_RV_FREEWALL	2	1.0	20
-49.36048	-24.26829	-36.16720	SAX_RV_EPICARDIAL	2	1.0	20
-51.05705	-23.16353	-38.57320	SAX_RV_EPICARDIAL	2	1.0	20
-53.28473	-23.16353	-40.29005	SAX_RV_EPICARDIAL	2	1.0	20
