x	y	z	contour type	frameID	weight	time frame
-40.50133	-22.05875	-31.53655	SAX_RV_FREEWALL	2	1.0	4
-42.19789	-20.95398	-33.94256	SAX_RV_FREEWALL	2	1.0	4
-43.89446	-19.84921	-36.34856	SAX_RV_FREEWALL	2	1.0	4
-46.12215	-19.84922	-38.06540	SAX_RV_FREEWALL	2	1.0	4
-47.81872	-18.74445	-40.47141	SAX_RV_FREEWALL	2	1.0	4
-50.04641	-18.74445	-42.18825	SAX_RV_FREEWALL	2	1.0	4
-51.74297	-17.63969	-44.59425	SAX_RV_FREEWALL	2	1.0	4
-53.43954	-16.53492	-47.00026	SAX_RV_FREEWALL	2	1.0	4
-55.13611	-15.43016	-49.40626	SAX_RV_FREEWALL	2	1.0	4
-57.36380	-15.43016	-51.12310	SAX_RV_FREEWALL	2	1.0	4
-59.06036	-14.32539	-53.52911	SAX_RV_FREEWALL	2	1.0	4
-60.75693	-13.22063	-55.93511	SAX_RV_FREEWALL	2	1.0	4
-62.45350	-12.11586	-58.34111	SAX_RV_FREEWALL	2	1.0	4
-62.50510	-9.90632	-60.57785	SAX_RV_FREEWALL	2	1.0	4
-61.44286	-7.69679	-61.95616	SAX_RV_FREEWALL	2	1.0	4
-61.49446	-5.48725	-64.19290	SAX_RV_FREEWALL	2	1.0	4
-61.54606	-3.27772	-66.42963	SAX_RV_FREEWALL	2	1.0	4
-62.71151	-1.06818	-69.52479	SAX_RV_FREEWALL	2	1.0	4
-60.53542	1.14136	-70.04468	SAX_RV_FREEWALL	2	1.0	4
-59.47318	3.35089	-71.42300	SAX_RV_FREEWALL	2	1.0	4
-57.29710	5.56043	-71.94289	SAX_RV_FREEWALL	2	1.0	4
-56.23485	7.76997	-73.32120	SAX_RV_FREEWALL	2	1.0	4
-54.05877	9.97950	-73.84109	SAX_RV_FREEWALL	2	1.0	4
-51.88268	12.18904	-74.36098	SAX_RV_FREEWALL	2	1.0	4
-49.70660	14.39858	-74.88087	SAX_RV_FREEWALL	2	1.0	4
-47.53051	16.60812	-75.40076	SAX_RV_FREEWALL	2	1.0	4
-45.35442	18.81766	-75.92065	SAX_RV_FREEWALL	2	1.0	4
-43.17834	21.02719	-76.44054	SAX_RV_FREEWALL	2	1.0	4
-39.88841	23.23673	-76.10201	SAX_RV_FREEWALL	2	1.0	4
-36.59848	25.44627	-75.76348	SAX_RV_FREEWALL	2	1.0	4
-33.83967	26.55104	-74.73579	SAX_RV_FREEWALL	2	1.0	4
-31.08086	27.65581	-73.70810	SAX_RV_FREEWALL	2	1.0	4
-28.85317	27.65581	-71.99126	SAX_RV_FREEWALL	2	1.0	4
-27.15660	26.55105	-69.58525	SAX_RV_FREEWALL	2	1.0	4
-24.92891	26.55105	-67.86841	SAX_RV_FREEWALL	2	1.0	4
-5.80225	-5.48720	-21.27176	SAX_RV_FREEWALL	2	1.0	4
-6.86449	-7.69673	-19.89344	SAX_RV_FREEWALL	2	1.0	4
-9.04058	-9.90627	-19.37355	SAX_RV_FREEWALL	2	1.0	4
-8.98898	-12.11581	-17.13682	SAX_RV_FREEWALL	2	1.0	4
-7.29241	-13.22057	-14.73081	SAX_RV_FREEWALL	2	1.0	4
-6.12696	-15.43011	-11.63565	SAX_RV_FREEWALL	2	1.0	4
-8.30305	-17.63964	-11.11576	SAX_RV_FREEWALL	2	1.0	4
-11.06186	-18.74441	-12.14345	SAX_RV_FREEWALL	2	1.0	4
-13.82067	-19.84918	-13.17114	SAX_RV_FREEWALL	2	1.0	4
-16.04836	-19.84919	-14.88799	SAX_RV_FREEWALL	2	1.0	4
-18.80717	-20.95396	-15.91568	SAX_RV_FREEWALL	2	1.0	4
-21.03485	-20.95396	-17.63252	SAX_RV_FREEWALL	2	1.0	4
-23.79366	-22.05873	-18.66021	SAX_RV_FREEWALL	2	1.0	4
-26.02135	-22.05873	-20.37706	SAX_RV_FREEWALL	2	1.0	4
-28.24904	-22.05873	-22.09390	SAX_RV_FREEWALL	2	1.0	4
-30.47673	-22.05874	-23.81075	SAX_RV_FREEWALL	2	1.0	4
-32.70442	-22.05874	-25.52759	SAX_RV_FREEWALL	2	1.0	4
-34.93211	-22.05874	-27.24444	SAX_RV_FREEWALL	2	1.0	4
-37.15979	-22.05874	-28.96128	SAX_RV_FREEWALL	2	1.0	4
-39.38748	-22.05875	-30.67813	SAX_RV_FREEWALL	2	1.0	4
-40.98084	-25.37305	-28.61066	SAX_RV_EPICARDIAL	2	1.0	4
-42.67741	-24.26828	-31.01666	SAX_RV_EPICARDIAL	2	1.0	4
-44.37398	-23.16352	-33.42266	SAX_RV_EPICARDIAL	2	1.0	4
-46.07055	-22.05875	-35.82867	SAX_RV_EPICARDIAL	2	1.0	4
-48.29824	-22.05875	-37.54551	SAX_RV_EPICARDIAL	2	1.0	4
-49.99480	-20.95399	-39.95151	SAX_RV_EPICARDIAL	2	1.0	4
-52.22249	-20.95399	-41.66836	SAX_RV_EPICARDIAL	2	1.0	4
-53.91906	-19.84922	-44.07436	SAX_RV_EPICARDIAL	2	1.0	4
-55.61563	-18.74446	-46.48037	SAX_RV_EPICARDIAL	2	1.0	4
-57.84332	-18.74446	-48.19721	SAX_RV_EPICARDIAL	2	1.0	4
-59.53988	-17.63969	-50.60321	SAX_RV_EPICARDIAL	2	1.0	4
-61.76757	-17.63970	-52.32006	SAX_RV_EPICARDIAL	2	1.0	4
-63.46414	-16.53493	-54.72606	SAX_RV_EPICARDIAL	2	1.0	4
-65.16071	-15.43016	-57.13206	SAX_RV_EPICARDIAL	2	1.0	4
-65.74343	-14.32540	-58.67964	SAX_RV_EPICARDIAL	2	1.0	4
-65.79503	-12.11586	-60.91638	SAX_RV_EPICARDIAL	2	1.0	4
-65.84663	-9.90633	-63.15312	SAX_RV_EPICARDIAL	2	1.0	4
-64.78439	-7.69679	-64.53143	SAX_RV_EPICARDIAL	2	1.0	4
-63.72215	-5.48725	-65.90974	SAX_RV_EPICARDIAL	2	1.0	4
-64.88760	-3.27772	-69.00490	SAX_RV_EPICARDIAL	2	1.0	4
-65.47032	-2.17295	-70.55248	SAX_RV_EPICARDIAL	2	1.0	4
-64.40808	0.03658	-71.93079	SAX_RV_EPICARDIAL	2	1.0	4
-62.23199	2.24612	-72.45068	SAX_RV_EPICARDIAL	2	1.0	4
-61.16975	4.45566	-73.82900	SAX_RV_EPICARDIAL	2	1.0	4
-58.99366	6.66520	-74.34889	SAX_RV_EPICARDIAL	2	1.0	4
-57.93142	8.87473	-75.72720	SAX_RV_EPICARDIAL	2	1.0	4
